FullAddress,SID,PID,EXID,Service,Latitude,Longitude,Company,_overlaps
1173 HWY 20 S THERMOPOLIS WY 82443,946137,,21,Outside of SAI,Null,Null,Worland,1
138 HWY 120 W THERMOPOLIS WY 82443,942462,,21,Outside of SAI,Null,Null,Worland,1
Null,7509,,21,Outside of SAI,43.649813,-108.229109,Worland,1
153 CEDAR RIDGE DR THERMOPOLIS WY 82443,10008,,21,Outside of SAI,43.635708,-108.233288,Worland,1
Null,7720,,21,Outside of SAI,43.640961,-108.206427,Worland,1
1312 AIRPORT APRON RD THERMOPOLIS WY ,10322,,,Outside of SAI,43.7169082,-108.3790065,,Null
2530 HAMILTON DOME RD THERMOPOLIS WY ,10320,,,Outside of SAI,43.77301718,-108.5774596,,Null
365 HIGHWAY 20 S THERMOPOLIS WY 82443,10309,,21,Outside of SAI,43.600291,-108.211694,Worland,1
916 HWY 120 W THERMOPOLIS WY 82443,10302,,,Outside of SAI,43.70510724,-108.348035,,Null
1314 AIRPORT APRON RD THERMOPOLIS WY 82443,10286,,,Outside of SAI,43.71663698,-108.3794984,,Null
1316 AIRPORT APRON RD THERMOPOLIS WY 82443,10285,,,Outside of SAI,43.71629964,-108.3801257,,Null
1700 OWL CREEK RD THERMOPOLIS WY 82443,10260,,,Outside of SAI,43.7028703,-108.4866581,,Null
208 CARTER RANCH RD THERMOPOLIS WY 82433,10259,,21,Outside of SAI,43.628954,-108.205106,Worland,1
Null,41328,,,Outside of SAI,Null,Null,,Null
Null,41327,,,Outside of SAI,Null,Null,,Null
Null,41326,,,Outside of SAI,Null,Null,,Null
Null,41325,,,Outside of SAI,Null,Null,,Null
Null,41324,,,Outside of SAI,Null,Null,,Null
Null,41323,,,Outside of SAI,Null,Null,,Null
Null,41322,,,Outside of SAI,Null,Null,,Null
Null,41321,,,Outside of SAI,Null,Null,,Null
4331 OLD HIGHWAY 14 SUNDANCE WY 82729,943559,,78,Outside of SAI,Null,Null,Forsyth,3
167 HOMESTEAD LOOP HULETT WY 82720,945809,,12,Outside of SAI,Null,Null,Worland,1
999 BEARLODGE RANCH RD DEVILS TOWER WY 82714,945807,,78,Outside of SAI,Null,Null,Forsyth,3
18 GOLD RUSH TRL SUNDANCE WY 82729,945529,,22,Outside of SAI,Null,Null,Worland,1
878 BEARLODGE RANCH RD SUNDANCE WY 82729,50826,,78,Outside of SAI,44.49769,-104.534746,Forsyth,3
???? UNKNOWN DUP-20 SUNDANCE WY 82729,50719,,78,Outside of SAI,44.387989,-104.376986,Forsyth,3
263 MOONLIGHT AVE SUNDANCE WY 82729,50718,,78,Outside of SAI,44.388144,-104.376221,Forsyth,3
SUNDANCE MOUNTAIN SUNDANCE WY 82729,49708,,78,Outside of SAI,44.388513,-104.376234,Forsyth,3
212 MAIN SUNDANCE WY 82729,49709,,78,Outside of SAI,44.388693,-104.376234,Forsyth,3
115 QUEENS RD SUNDANCE WY 82729,50634,,78,Outside of SAI,44.532653,-104.281414,Forsyth,3
67 MOORHEAD RD BROADUS MT 59317,21169,,35,Outside of SAI,45.36993884,-105.504145,Forsyth,1
1003 CHERRY CREEK RD FORSYTH MT 59327,61123,,34,Outside of SAI,45.990282,-106.277926,Forsyth,1
2415 MAIN ST MILES CITY MT 59301,946255,,,Outside of SAI,Null,Null,,Null
Null,6815,,20,Outside of SAI,43.20106,-108.132615,Worland,1
160 HWY 130 LARAMIE WY 82070,903645,,,Outside of SAI,Null,Null,,Null
1831 US HWY 20 MANDERSON WY 82432,903169,,,Outside of SAI,Null,Null,,Null
1 FOREST SERVICE RD 432 LOT 1 TENSLEEP WY 82442,945681,,,Outside of SAI,Null,Null,,Null
222 N 32ND ST BILLINGS MT 59101,61544,,,Outside of SAI,45.7810511,-108.5125313,,Null
3011 2ND AVE N BILLINGS MT 59101,64092,,,Outside of SAI,Null,Null,,Null
782 SOLDIER CREEK RD UNIT C SHERIDAN WY 82801,945768,,,Outside of SAI,Null,Null,,Null
631 BECKTON RD DAYTON WY 82801,926361,,,Outside of SAI,Null,Null,,Null
25 EATON RANCH RD WOLF WY 82844,60947,,,Outside of SAI,44.799942,-107.213367,,Null
35 EATON RANCH RD WOLF WY 82844,60949,,,Outside of SAI,44.794564,-107.210478,,Null
270 EATON RANCH RD WOLF WY 82844,60948,,,Outside of SAI,44.771075,-107.237906,,Null
28 FOREST SERVICE 244 RD SHELL WY 82441,917732,,,Outside of SAI,Null,Null,,Null
251 FOREST SERVICE RD 17 SHELL WY 82441,942779,,,Outside of SAI,Null,Null,,Null
2300 SUNSET DR ROCK SPRINGS WY 82942,915124,,,Outside of SAI,Null,Null,,Null
215 D ST ROCK SPRINGS WY 82901,63668,,,Outside of SAI,Null,Null,,Null
1209 1-80 SERVICE RD ROCK SPRINGS WY 82901,923153,,,Outside of SAI,Null,Null,,Null
522 W BUFFALO RAWLINS WY 82301,63422,,,Outside of SAI,Null,Null,,Null
303 W SPRUCE ST RAWLINS WY 82301,934074,,,Outside of SAI,Null,Null,,Null
221 THIRD ST RAWLINS WY 82301,924442,,,Outside of SAI,Null,Null,,Null
1724 E CEDAR ST RAWLINS WY 82301,936030,,,Outside of SAI,Null,Null,,Null
1208 W SPRUCE RAWLINS WY 82301,63679,,,Outside of SAI,Null,Null,,Null
1100 WAGON CIRCLE DR RAWLINS WY 82301,932079,,,Outside of SAI,Null,Null,,Null
3850 TOWER RD RAPID CITY  SD 57701,945339,,,Outside of SAI,Null,Null,,Null
184 INTERSTATE 80 WAMSUTTER WY 82301,930873,,,Outside of SAI,Null,Null,,Null
4550 US HIGHWAY 26-85 TORRINGTON WY 82240,923155,,,Outside of SAI,Null,Null,,Null
2211 ELK RIVER RD STEAMBOAT SPRINGS WY 80487,935012,,,Outside of SAI,Null,Null,,Null
409 S 32ND ST SPEARFISH SD 57783,944133,,,Outside of SAI,Null,Null,,Null
5401 S SOLBERG AVE SIOUX FALLS WY 57108,914531,,,Outside of SAI,Null,Null,,Null
303 E ILLINOIS SIDNEY NE 69162,63206,,,Outside of SAI,Null,Null,,Null
1433 ILLINOIS SIDNEY NE 69162,63205,,,Outside of SAI,Null,Null,,Null
782 SOLDIER CREEK RD UNIT B SHERIDAN WY 82801,939568,,,Outside of SAI,Null,Null,,Null
782 SOLDIER CREEK RD SHERIDAN WY 82801,60341,,,Outside of SAI,44.787787,-107.165906,,Null
600 HWY 14 E SHERIDAN WY 82801,916964,,41,Outside of SAI,Null,Null,Sheridan,1
32 WILD HOLLOW RD SHERIDAN WY 82801,60992,,41,Outside of SAI,44.847288,-106.967993,Sheridan,1
56 HALFWAY LN RANCHESTER WY 82839,929392,,,Outside of SAI,Null,Null,,Null
427 MOBILE CIR RANCHESTER WY 82839,60301,,,Outside of SAI,44.906086,-107.166056,,Null
38 MONARCH RD RANCHESTER WY 82839,932130,,,Outside of SAI,Null,Null,,Null
320 EARLY CREEK RD RANCHESTER WY 82839,930286,,,Outside of SAI,Null,Null,,Null
31 RIVER RD RANCHESTER WY 82839,905597,,,Outside of SAI,Null,Null,,Null
308 EARLY CREEK RD RANCHESTER WY 82839,908061,,,Outside of SAI,Null,Null,,Null
34 US HIGHWAY 30 HANNA WY 82327,931756,,,Outside of SAI,Null,Null,,Null
1336 HWY 345 RANCHESTER WY 82839,914117,,,Outside of SAI,Null,Null,,Null
1181 HWY 345 RANCHESTER WY 82839,918209,,,Outside of SAI,Null,Null,,Null
114 KLEENBURN RD RANCHESTER WY 82839,936532,,,Outside of SAI,Null,Null,,Null
1104 BIG HORN DR RANCHESTER WY 82839,928991,,,Outside of SAI,Null,Null,,Null
7 REPAC LN RANCHESTER WY 82839,915875,,,Outside of SAI,Null,Null,,Null
100 NEWPORT AVE QUINCY MA 02171,921016,,,Outside of SAI,Null,Null,,Null
151 E 1ST ST POWELL WY 82435,931301,,,Outside of SAI,Null,Null,,Null
240 E PINE ST PINEDALE WY 82941,945031,,,Outside of SAI,Null,Null,,Null
144 EHMAN LN PINEDALE WY 82941,922500,,,Outside of SAI,Null,Null,,Null
1010 WILSON ST PINEDALE WY 82941,934390,,,Outside of SAI,Null,Null,,Null
10283 STATE HWY 233 KEMMERER WY,905755,,,Outside of SAI,Null,Null,,Null
625 E BROADWAY AVE JACKSON WY 83002,904647,,,Outside of SAI,Null,Null,,Null
420 N CACHE ST JACKSON WY 83002,913970,,,Outside of SAI,Null,Null,,Null
405 POWDERHORN LANE JACKSON WY 83002,931582,,,Outside of SAI,Null,Null,,Null
460 PARK AVE IDAHO FALLS ID 83402,915626,,,Outside of SAI,Null,Null,,Null
710 INDUSTRIAL AVE GREYBULL WY 82426,931115,,,Outside of SAI,Null,Null,,Null
325 1ST AVE N GREYBULL WY 82426,926694,,,Outside of SAI,Null,Null,,Null
18815 85TH PLACE MAPLE GROVE MN 55311,920083,,,Outside of SAI,Null,Null,,Null
451 SHOSHONE AVE LOVELL WY 82431,912673,,,Outside of SAI,Null,Null,,Null
284 E MAIN ST LOVELL WY 82431,926052,,,Outside of SAI,Null,Null,,Null
21018 CALAMITY GULCH LN LEAD SD 57754,60791,,,Outside of SAI,44.364625,-103.927183,,Null
4408 FETTERMAN GARRETT WY 82058,902959,,,Outside of SAI,Null,Null,,Null
1850 PEARL ST DENVER CO 80203,926987,,,Outside of SAI,Null,Null,,Null
2201 17TH ST CODY WY 82414,910616,,,Outside of SAI,Null,Null,,Null
153 HIDDEN VALLEY RD CODY WY 82414,905952,,,Outside of SAI,Null,Null,,Null
350 E CERMAK RD CHICAGO IL 60616,940257,,,Outside of SAI,Null,Null,,Null
904 PARADISE RD BOULDER WY 82923,927211,,,Outside of SAI,Null,Null,,Null
1101 ANTELOPE DR BAROIL WY 82322,60542,,,Outside of SAI,42.237934,-107.561832,,Null
314 S WASHINGTON ST AFTON WY 83110,940254,,,Outside of SAI,Null,Null,,Null
101 TEINI RD ROBERTS MT 59070,937447,,,Outside of SAI,Null,Null,,Null
328 LUOMA RANCH RD RED LODGE MT 59068,914131,,,Outside of SAI,Null,Null,,Null
3 WEST FORK DRAW RED LODGE MT 59068,903424,,,Outside of SAI,Null,Null,,Null
19 GREENOUGH LN RED LODGE MT 59068,937196,,,Outside of SAI,Null,Null,,Null
151 FOX RD RED LODGE MT 59068,922324,,,Outside of SAI,Null,Null,,Null
500 W BROADWAY ST MISSOULA MT 59802,945227,,,Outside of SAI,Null,Null,,Null
1221 NORTH RUSSELL STREET MISSOULA MT 89808,925186,,,Outside of SAI,Null,Null,,Null
28287 BLIXIT CREEK RD BONNER MT 59823,945100,,,Outside of SAI,Null,Null,,Null
2 N RAIL RD BANNER WY 82832,913732,,41,Outside of SAI,Null,Null,Sheridan,1
199 MURPHY GULCH RD BANNER WY 82832,934535,,,Outside of SAI,Null,Null,,Null
13 BUFFALO RUN DR SHERIDAN WY 82832,928915,,41,Outside of SAI,Null,Null,Sheridan,1
8070 HWY 14 DAYTON WY 82836,906732,,,Outside of SAI,Null,Null,,Null
7979 HWY 14 DAYTON WY 82836,921923,,,Outside of SAI,Null,Null,,Null
6002 HWY 14 DAYTON WY 82836,916631,,,Outside of SAI,Null,Null,,Null
431 BARKER RD RANCHESTER WY 82839,911402,,,Outside of SAI,Null,Null,,Null
402 SMITH CREEK RD DAYTON WY 82836,931468,,,Outside of SAI,Null,Null,,Null
1 SIBLEY LAKE FOREST SERVICE RD LOT 11 DAYTON WY 82836,942405,,,Outside of SAI,Null,Null,,Null
9 CRYSTAL RD Dayton WY 82836,877964,,,Outside of SAI,Null,Null,,Null
33 BOULDER REARING STATION RD BOULDER WY 82923,903053,,,Outside of SAI,Null,Null,,Null
50 OIL FIELD RD SUMATRA MT,940674,,,Outside of SAI,Null,Null,,Null
239 I-90 FRONTAGE RD DRUMMOND MT,940252,,,Outside of SAI,Null,Null,,Null
1112 HWY 14 E SHERIDAN WY 82832,928673,,41,Outside of SAI,44.6504,-106.8247,Sheridan,1
92 W VEDAUWOO BUFORD WY 82052,64810,,,Outside of SAI,Null,Null,,Null
4622 HWY 14 DAYTON WY 82836,61386,,,Outside of SAI,44.753809,-107.504565,,Null
1717 E INTERSTATE AVE BISMARCK ND 58503,64309,,,Outside of SAI,46.835098,-100.764851,,Null
221 E PINE ST PINEDALE WY 82941,907395,,,Outside of SAI,Null,Null,,Null
86100 HWY 87 LEWISTOWN MT 59457,64854,,,Outside of SAI,Null,Null,,Null
224 W MAIN ST LEWISTOWN MT 59457,902933,,,Outside of SAI,Null,Null,,Null
1400 HEART MOUNTAIN ST CODY WY 82414,64790,,,Outside of SAI,Null,Null,,Null
1801 US HWY 310 LOVELL WY 82431,64633,,,Outside of SAI,Null,Null,,Null
4583 HWY 14 W DAYTON WY 82836,64259,,,Outside of SAI,44.753867,-107.504653,,Null
267 FOREST SERVICE RD 13 SHELL WY 82441,64784,,,Outside of SAI,Null,Null,,Null
1176 BIG GOOSE RD SHERIDAN WY 82801,63744,,,Outside of SAI,44.724026,-107.139027,,Null
6 SOLDIER CREEK RD SHERIDAN WY 82801,34089,,41,Outside of SAI,44.816136,-107.021591,Sheridan,1
650 E US HWY 14 SHERIDAN WY 82801,34051,,41,Outside of SAI,44.71090436,-106.8609755,Sheridan,1
501 E US HWY 14 SHERIDAN WY 82801,34050,,41,Outside of SAI,44.73161332,-106.8727839,Sheridan,1
150 PENO RD SHERIDAN WY 82801,34087,,41,Outside of SAI,44.78169946,-106.8978842,Sheridan,1
682 HWY 14 E SHERIDAN WY 82801,909017,,41,Outside of SAI,Null,Null,Sheridan,1
558 US HWY 14 E SHERIDAN WY 82801,933512,,41,Outside of SAI,Null,Null,Sheridan,1
902 11 LANDER WY 82520,932753,,,Outside of SAI,Null,Null,,Null
745 BUENA VISTA DR LANDER WY 82520,935950,,,Outside of SAI,Null,Null,,Null
72 SQUAW CREEK CT LANDER WY 82520,912007,,,Outside of SAI,Null,Null,,Null
565 SHOSHONE AV LANDER WY 82520,918553,,,Outside of SAI,Null,Null,,Null
53 N FORK RD LANDER WY 82520,933187,,,Outside of SAI,Null,Null,,Null
260 BUENA VISTA DR LANDER WY 82520,914015,,,Outside of SAI,Null,Null,,Null
201 N 4 LANDER WY 82520,903644,,,Outside of SAI,Null,Null,,Null
147 ST CLAIR SPUR LANDER WY 82520,914200,,60,Outside of SAI,Null,Null,Sheridan,2
1320 BISHOP RANDALL DR LANDER WY 82520,916221,,,Outside of SAI,Null,Null,,Null
111 RED CANYON RD LANDER WY 82520,926743,,,Outside of SAI,Null,Null,,Null
10201 HWY 287 LANDER WY 82520,905101,,60,Outside of SAI,Null,Null,Sheridan,2
523 NORTH FORK RD FORT WASHAKIE WY 82514,925697,,60,Outside of SAI,Null,Null,Sheridan,2
505 HURSH ST RIVERTON WY 82501,915451,,60,Outside of SAI,Null,Null,Sheridan,2
3850 AIRPORT RD RIVERTON WY 82501,914449,,60,Outside of SAI,Null,Null,Sheridan,2
230 W MAIN RIVERTON WY 82501,918541,,60,Outside of SAI,Null,Null,Sheridan,2
2203 W MAIN RIVERTON WY 82501,922619,,60,Outside of SAI,Null,Null,Sheridan,2
220 E MAIN RIVERTON WY 82501,928078,,60,Outside of SAI,Null,Null,Sheridan,2
2100 W SUNSET DR RIVERTON WY 82501,912464,,60,Outside of SAI,Null,Null,Sheridan,2
205 S BROADWAY AV RIVERTON WY 82501,915494,,60,Outside of SAI,Null,Null,Sheridan,2
1602 W MAIN RIVERTON WY 82501,904083,,60,Outside of SAI,Null,Null,Sheridan,2
267 TROUT CREEK RD FORT WASHAKIE WY 82514,931334,,60,Outside of SAI,42.9803,-108.9254,Sheridan,2
ETHETE WY ,48300,,60,Outside of SAI,Null,Null,Sheridan,2
FT WASHAKIE WY ,48296,,60,Outside of SAI,Null,Null,Sheridan,2
4830 COUNTY ROAD 217 BURNS WY 82053,944707,,9,Outside of SAI,Null,Null,Worland,1
1500 COUNTY ROAD 161 PINE BLUFFS WY 82082,5939,,19,Outside of SAI,41.215509,-104.119989,Worland,1
491 PARMLEE CANYON RD FOUR CORNERS WY 82715,64357,,17,Outside of SAI,Null,Null,Worland,1
423 SUNDOWN TRL UPTON WY 82730,937469,,17,Outside of SAI,Null,Null,Worland,1
141 SKULL CREEK RD OSAGE WY 82723,63825,,18,Outside of SAI,Null,Null,Worland,1
1330 SKULL CREEK RD OSAGE WY 82723,940734,,17,Outside of SAI,Null,Null,Worland,1
Null,29685,,22,Outside of SAI,43.908704,-104.549662,Worland,1
62 PLEVNA RD EKALAKA MT 59324,940901,,,Outside of SAI,Null,Null,,Null
399 CAVE SPRINGS RD NEWCASTLE WY 82701,946519,,17,Outside of SAI,Null,Null,Worland,1
10427 TWO TRACK TRL EDGEMONT SD 57735,63681,,17,Outside of SAI,Null,Null,Worland,1
363 MALLO RD FOUR CORNERS WY 82715,946007,,17,Outside of SAI,Null,Null,Worland,1
537 WILDWOOD RD NEWCASTLE WY 82701,945774,,17,Outside of SAI,Null,Null,Worland,1
1502 WILDWOOD RD NEWCASTLE WY 82701,945639,,17,Outside of SAI,Null,Null,Worland,1
115 BERDAHL RD FOUR CORNERS WY 82715,945553,,17,Outside of SAI,Null,Null,Worland,1
12 BERDAHL RD FOUR CORNERS WY 82715,945552,,17,Outside of SAI,Null,Null,Worland,1
303 WILDWOOD RD NEWCASTLE WY 82701,945536,,17,Outside of SAI,Null,Null,Worland,1
769 WILDWOOD RD NEWCASTLE WY 82701,945301,,17,Outside of SAI,Null,Null,Worland,1
127 BRIDLE BIT RD NEWCASTLE WY 82701,945168,,17,Outside of SAI,Null,Null,Worland,1
1070 OLD HIGHWAY 85 RD NEWCASTLE WY 82701,944996,,17,Outside of SAI,Null,Null,Worland,1
671 OLD HIGHWAY 85 NEWCASTLE WY 82701,944673,,17,Outside of SAI,Null,Null,Worland,1
22503 US HIGHWAY 85 NEWCASTLE WY 82701,944672,,17,Outside of SAI,Null,Null,Worland,1
442 TWILIGHT DR FOUR CORNERS WY 82715,944617,,17,Outside of SAI,Null,Null,Worland,1
164 KENWOOD DR NEWCASTLE WY 82701,64157,,17,Outside of SAI,Null,Null,Worland,1
48 MUSSER RD NEWCASTLE WY 82701,64546,,17,Outside of SAI,43.858063,-104.181118,Worland,1
36 MUSSER RD NEWCASTLE WY 82701,28133,,17,Outside of SAI,43.855475,-104.180293,Worland,1
188 KENWOOD DR NEWCASTLE WY 82701,28697,,17,Outside of SAI,43.83454,-104.227012,Worland,1
184 KENWOOD DR NEWCASTLE WY 82701,28699,,17,Outside of SAI,43.835547,-104.227381,Worland,1
1012 DEWEY RD NEWCASTLE WY 82701,29227,,,Outside of SAI,Null,Null,,Null
138 BRIDLE BIT RD NEWCASTLE WY 82701,29170,,17,Outside of SAI,43.889775,-104.21251,Worland,1
Null,26238,,,Outside of SAI,Null,Null,,Null
Null,26237,,,Outside of SAI,Null,Null,,Null
Null,26228,,,Outside of SAI,Null,Null,,Null
1493 OLD SUNDANCE RD MOORCROFT WY 82721,946560,,16,Outside of SAI,Null,Null,Worland,1
69 THORN DIVIDE RD MOORCROFT WY 82721,945868,,16,Outside of SAI,Null,Null,Worland,1
21 307 ROBERTS CT MOORCROFT WY 82721,946512,,16,Outside of SAI,Null,Null,Worland,1
39 LOFTY RIDGE LN MOORCROFT WY 82721,946513,,16,Outside of SAI,Null,Null,Worland,1
124 JUNIPER HILLS RD MOORCROFT WY 82721,946397,,16,Outside of SAI,Null,Null,Worland,1
2006 BUFFALO REEK RD MOORCROFT WY 82721,946362,,16,Outside of SAI,Null,Null,Worland,1
1946 BUFFALO CREEK RD MORRCROFT WY 82721,946363,,16,Outside of SAI,Null,Null,Worland,1
1948 BUFFALO CREEK RD MORRCROFT WY 82721,946364,,16,Outside of SAI,Null,Null,Worland,1
1949 BUFFALO CREEK RD MORRCROFT WY 82721,946365,,16,Outside of SAI,Null,Null,Worland,1
1945 BUFFALO CREEK RD MORRCROFT WY 82721,946366,,16,Outside of SAI,Null,Null,Worland,1
1985 BUFFALO CREEK RD MORRCROFT WY 82721,946367,,16,Outside of SAI,Null,Null,Worland,1
1947 BUFFALO CREEK RD MOORCROFT WY 82721,946368,,16,Outside of SAI,Null,Null,Worland,1
286 ASTIN RD MOORCROFT WY 82721,946161,,16,Outside of SAI,Null,Null,Worland,1
127 SAND HILLS RD MOORCROFT WY 82721,946065,,16,Outside of SAI,Null,Null,Worland,1
99 JUNIPER HILLS RD MOORCROFT WY 82721,946064,,16,Outside of SAI,Null,Null,Worland,1
91 JUNIPER HILLS RD MOORCROFT WY 82721,946063,,16,Outside of SAI,Null,Null,Worland,1
118 OIL BUTTE CIR MOORCROFt WY 82721,945971,,16,Outside of SAI,Null,Null,Worland,1
63 HB DR MORRCROFT WY 82721,945910,,16,Outside of SAI,Null,Null,Worland,1
89 HB DR MORRCROFT WY 82721,945909,,16,Outside of SAI,Null,Null,Worland,1
231 OIL BUTTE CIR MOORCROFT WY 82721,18181,,16,Outside of SAI,44.461301,-104.874036,Worland,1
99 STRONG LN MOORCROFT WY 82721,945462,,16,Outside of SAI,Null,Null,Worland,1
18 LOFTY RIDGE LN MOORCROFT WY 82721,945434,,16,Outside of SAI,Null,Null,Worland,1
24 LONDYN LN MOORCROFT WY 82721,945402,,22,Outside of SAI,Null,Null,Worland,1
136 OIL BUTTE CR MOORCROFT WY 82721,945325,,16,Outside of SAI,Null,Null,Worland,1
120 SAND HILLS RD MOORCROFT WY 82721,945187,,16,Outside of SAI,Null,Null,Worland,1
185 OIL BUTTE CREEK CIR MOORCROFT WY 82721,944995,,16,Outside of SAI,Null,Null,Worland,1
64 LONDYN LN MORRCROFT WY 82721,944722,,16,Outside of SAI,Null,Null,Worland,1
56 LONDYN LN MORRCROFT WY 82721,944721,,16,Outside of SAI,Null,Null,Worland,1
